Date,Cpi,Jclaim,Int_rate,Stock_price,Inf,Cboe,Gold,Oil,Bitcoin,Dollar
2021-02-01,263.346,803000.0,1.0770000219345093,3773.860107421875,2.11,30.239999771118164,1860.800048828125,53.54999923706055,33537.17578125,91.0199966430664
2021-02-02,263.346,803000.0,1.1050000190734863,3826.31005859375,2.15,25.559999465942383,1830.5,54.7599983215332,35510.2890625,91.19999694824219
2021-02-03,263.346,803000.0,1.13100004196167,3830.169921875,2.19,22.90999984741211,1832.199951171875,55.689998626708984,37472.08984375,91.12000274658203
2021-02-04,263.346,803000.0,1.1390000581741333,3871.739990234375,2.17,21.770000457763672,1788.9000244140625,56.22999954223633,36926.06640625,91.52999877929688
2021-02-05,263.346,803000.0,1.1699999570846558,3886.830078125,2.21,20.8700008392334,1810.9000244140625,56.849998474121094,38144.30859375,91.04000091552734
2021-02-08,263.346,812000.0,1.159999966621399,3915.590087890625,2.22,21.239999771118164,1831.9000244140625,57.970001220703125,46196.46484375,90.93000030517578
2021-02-09,263.346,812000.0,1.156999945640564,3911.22998046875,2.22,21.6299991607666,1835.300048828125,58.36000061035156,46481.10546875,90.44000244140625
2021-02-10,263.346,812000.0,1.1330000162124634,3909.8798828125,2.21,21.989999771118164,1840.5999755859375,58.68000030517578,44918.18359375,90.37000274658203
2021-02-11,263.346,812000.0,1.1579999923706055,3916.3798828125,2.2,21.25,1824.9000244140625,58.2400016784668,47909.33203125,90.41999816894531
2021-02-12,263.346,812000.0,1.2000000476837158,3934.830078125,2.21,19.969999313354492,1821.5999755859375,59.470001220703125,47504.8515625,90.4800033569336
2021-02-16,263.346,802000.0,1.2990000247955322,3932.590087890625,2.24,21.459999084472656,1797.199951171875,60.04999923706055,49199.87109375,90.51000213623047
2021-02-17,263.346,802000.0,1.3009999990463257,3931.330078125,2.21,21.5,1771.0999755859375,61.13999938964844,52149.0078125,90.94999694824219
2021-02-18,263.346,802000.0,1.2869999408721924,3913.969970703125,2.16,22.489999771118164,1773.4000244140625,60.52000045776367,51679.796875,90.58999633789062
2021-02-19,263.346,802000.0,1.3450000286102295,3906.7099609375,2.14,22.049999237060547,1775.800048828125,59.2400016784668,55888.1328125,90.36000061035156
2021-02-22,263.346,702000.0,1.3700000047683716,3876.5,2.16,23.450000762939453,1806.699951171875,61.4900016784668,54207.3203125,90.01000213623047
2021-02-23,263.346,702000.0,1.3619999885559082,3881.3701171875,2.16,23.110000610351562,1804.4000244140625,61.66999816894531,48824.42578125,90.16999816894531
2021-02-24,263.346,702000.0,1.3890000581741333,3925.429931640625,2.17,21.34000015258789,1796.4000244140625,63.220001220703125,49705.33203125,90.18000030517578
2021-02-25,263.346,702000.0,1.5180000066757202,3829.340087890625,2.14,28.889999389648438,1774.4000244140625,63.529998779296875,47093.8515625,90.12999725341797
2021-02-26,263.346,702000.0,1.4600000381469727,3811.14990234375,2.15,27.950000762939453,1728.0999755859375,61.5,46339.76171875,90.93000030517578
2021-03-01,265.028,704000.0,1.4459999799728394,3901.820068359375,2.16,23.350000381469727,1722.5,60.63999938964844,49631.2421875,91.04000091552734
2021-03-02,265.028,704000.0,1.4149999618530273,3870.2900390625,2.2,24.100000381469727,1733.0999755859375,59.75,48378.98828125,90.79000091552734
2021-03-03,265.028,704000.0,1.4700000286102295,3819.719970703125,2.21,26.670000076293945,1715.300048828125,61.279998779296875,50538.2421875,90.94999694824219
2021-03-04,265.028,704000.0,1.5499999523162842,3768.469970703125,2.2,28.56999969482422,1700.199951171875,63.83000183105469,48561.16796875,91.62999725341797
2021-03-05,265.028,704000.0,1.5540000200271606,3841.93994140625,2.22,24.65999984741211,1698.0,66.08999633789062,48927.3046875,91.9800033569336
2021-03-08,265.028,693000.0,1.5959999561309814,3821.35009765625,2.21,25.469999313354492,1677.699951171875,65.05000305175781,52246.5234375,92.30999755859375
2021-03-09,265.028,693000.0,1.5460000038146973,3875.43994140625,2.21,24.030000686645508,1716.5999755859375,64.01000213623047,54824.1171875,91.95999908447266
