Rank,Zip Code,Population
445,14301,"12,704"
446,10514,"12,667"
447,10918,"12,653"
448,11545,"12,604"
449,11755,"12,598"
450,13207,"12,597"
451,13066,"12,525"
452,11577,"12,513"
453,10803,"12,510"
454,10044,"12,440"
455,11742,"12,438"
456,11576,"12,374"
457,14004,"12,332"
458,10530,"12,268"
459,12586,"12,246"
460,13032,"12,208"
461,10474,"12,179"
462,11778,"12,081"
463,14810,"12,067"
464,10927,"12,065"
465,14425,"12,049"
466,12095,"12,046"
467,14219,"12,000"
468,14622,"11,939"
469,14201,"11,935"
470,14605,"11,932"
471,14586,"11,875"
472,14519,"11,723"
473,11766,"11,720"
474,12566,"11,571"
475,14608,"11,542"
476,12701,"11,526"
477,13827,"11,452"
478,12188,"11,415"
479,13041,"11,409"
480,10604,"11,290"
481,13323,"11,282"
482,14437,"11,220"
483,14454,"11,206"
484,13492,"11,154"
485,13617,"11,137"
486,10522,"11,070"
487,12211,"10,990"
488,14092,"10,922"
489,12549,"10,915"
490,13078,"10,889"
491,13357,"10,786"
492,14502,"10,733"
493,14212,"10,715"
494,10536,"10,627"
495,10601,"10,614"
496,14208,"10,574"
497,13148,"10,535"
498,14103,"10,519"
499,11968,"10,517"
500,14031,"10,468"
501,10510,"10,438"
502,13619,"10,400"
503,13165,"10,376"
504 TIE,11596 and 13904,"10,347"
505,14625,"10,262"
506,10707,"10,260"
507,14467,"10,098"
508,10970,"10,082"
509,10553,"10,075"
510,12569,"10,047"
511,12571,"9,984"
512,12414,"9,979"
513,12209,"9,978"
514,11518,"9,969"
515,13642,"9,909"
516,14059,"9,860"
517,13037,"9,787"
518,13350,"9,786"
519,11716,"9,781"
520,11740,"9,693"
521 TIE,12061 and 11752,"9,656"
522,14006,"9,605"
523,10709,"9,603"
524,12210,"9,583"
525,14001,"9,522"
526,13603,"9,501"
527,10280,"9,496"
528,12828,"9,481"
529,14870,"9,468"
530,10930,"9,425"
531,10992,"9,360"
532,11023,"9,301"
533,11713,"9,295"
534,14011,"9,198"
535,11771,"9,150"
536,14895,"9,144"
537,10523,"9,133"
538,14032,"9,083"
539,10920,"9,075"
540,13036,"9,064"
541,11777,"9,007"
542,14522,"9,005"
543,11797,"8,962"
544,12572,"8,892"
545,10018,"8,806"
546,10589,"8,793"
547,13367,"8,767"
548,14472,"8,713"
549,10005,"8,701"
550,10989,"8,689"
551,14204,"8,643"
552,10923,"8,627"
553,11565,"8,560"
554,10706,"8,493"
555,10595,"8,473"
556,11558,"8,465"
557,13214,"8,439"
558,12563,"8,431"
559,13035,"8,422"
560,14905,"8,407"
561,13224,"8,369"
562,11096,"8,362"
563,12803,"8,357"
564,12202,"8,342"
565,11769,"8,340"
566,13365,"8,339"
567,12204,"8,318"
568,14482,"8,303"
569,11789,"8,301"
570,12540,"8,248"
571,10579,"8,208"
572,10504,"8,196"
573,11559,"8,192"
574,12043,"8,129"
575,13340,"8,097"
576,13152,"8,025"
577 TIE,14057 and 14892,"8,022"
578,12033,"7,906"
579,12009,"7,900"
580,11557,"7,878"
581,12198,"7,871"
582,12159,"7,870"
583,11792,"7,853"
584,13732,"7,799"
585,11024,"7,786"
586,14209,"7,736"
587,11705,"7,721"
588,14445,"7,716"
589,10547,"7,690"
590,10533,"7,662"
591,14589,"7,605"
592,14903,"7,600"
593,11934,"7,584"
594,10607,"7,578"
595,12564,"7,549"
596,14141,"7,480"
597,12983,"7,463"
598,14464,"7,462"
599,10007,"7,408"
600,14470,"7,406"
601,10994,"7,396"
602,11516,"7,372"
603,11933,"7,342"
604,13403,"7,302"
605,12018,"7,226"
606,11507,"7,225"
607,14428,"7,208"
608,14085,"7,178"
609,13029,"7,168"
610,11963,"7,161"
611,10507,"7,134"
612,14489,"7,113"
613,11363,"7,096"
614,10590,"7,078"
615,12307,"7,031"
616,14414,"7,017"
617,13077,"7,015"
618,12158,"6,945"
619,14070,"6,894"
620,12428,"6,885"
621,12184,"6,840"
622,12570,"6,827"
623,13202,"6,787"
624,12077,"6,745"
625,11709,"6,735"
626,14068,"6,731"
627,14514,"6,724"
628,14886,"6,713"
629,11560,"6,669"
630,12834,"6,665"
631,14779,"6,606"
632,12754,"6,602"
633,14047,"6,549"
634,13073,"6,534"
635,13339,"6,528"
636,13142,"6,522"
637,12832,"6,502"
638,12582,"6,423"
639,13135,"6,392"
640,12721,"6,387"
641 TIE,12051 and 10996,"6,383"
642,11786,"6,359"
643,10577,"6,356"
644 TIE,13114 and 12090,"6,350"
645,13865,"6,297"
646,11721,"6,288"
647,13346,"6,241"
648,14568,"6,232"
649,12222,"6,198"
650,12186,"6,193"
651,14706,"6,163"
652 TIE,14487 and 13118,"6,159"
653,13902,"6,130"
654,13108,"6,095"
655,13856,"6,089"
656,12822,"6,060"
657,10069,"6,051"
658,10962,"6,034"
659,11971,"6,026"
660,13316,"6,000"
661 TIE,12972 and 14469,"5,983"
662,11109,"5,980"
663,12986,"5,941"
664,14569,"5,896"
665,14432,"5,875"
666,11980,"5,865"
667,13211,"5,861"
668,14837,"5,786"
669,10282,"5,783"
670,11020,"5,774"
671,13309,"5,748"
672,12518,"5,732"
673,14261,"5,702"
674,10506,"5,699"
675,14108,"5,689"
676,14867,"5,676"
677,13753,"5,651"
678,14132,"5,632"
679,12542,"5,622"
680,13166,"5,616"
681,14174,"5,597"
682,14303,"5,582"
683,11940,"5,532"
684,12305,"5,519"
685,10502,"5,514"
686,14009,"5,491"
687,13778,"5,486"
688,13326,"5,419"
689,12123,"5,398"
690,12025,"5,388"
691,14727,"5,386"
692,10516,"5,375"
693,14801,"5,328"
694,14590,"5,316"
695,14530,"5,306"
696,13624,"5,305"
697,13159,"5,290"
698,12962,"5,256"
699,13068,"5,231"
700,11579,"5,214"
701,11942,"5,174"
702,14551,"5,152"
703,10594,"5,090"
704,13830,"5,077"
705,14067,"5,076"
706,10913,"5,075"
707,12446,"5,063"
708,12498,"5,045"
709,13407,"5,023"
710,13605,"5,014"
711,11952,"5,010"
712,13053,"5,006"
713,12084,"5,005"
714,14505,"5,002"
715,14871,"4,980"
716,14131,"4,969"
717,12170,"4,958"
718,10532,"4,952"
719,14510,"4,929"
720,10576,"4,907"
721,12883,"4,845"
722,14036,"4,836"
723,13733,"4,811"
724,10993,"4,803"
725,10560,"4,792"
726,12946,"4,746"
727,12887,"4,745"
728,12143,"4,728"
729,14883,"4,726"
730,14787,"4,704"
731,14546,"4,702"
732,11514,"4,694"
733,12545,"4,674"
734,11804,"4,671"
735,14136,"4,667"
736,12522,"4,659"
737,14572,"4,640"
738,13452,"4,618"
739,14105,"4,591"
740,11715,"4,583"
741,13140,"4,571"
742,12845,"4,570"
743,14423,"4,559"
744,11568,"4,548"
745,10464,"4,531"
746,12053,"4,527"
747,13849,"4,502"
748,10963,"4,487"
749,12580,"4,479"
750,14750,"4,419"
751 TIE,12871 and 14512,"4,418"
752,12157,"4,417"
753,13460,"4,414"
754,12885,"4,410"
755,10524,"4,380"
756,12816,"4,371"
757,10916,"4,352"
758,12148,"4,333"
759,12594,"4,332"
760,14737,"4,322"
761,13637,"4,318"
762,14080,"4,313"
763,13862,"4,290"
764,11944,"4,287"
765,14891,"4,276"
766,14532,"4,273"
767,13082,"4,258"
768,12037,"4,257"
769 TIE,13803 and 13811,"4,243"
770,14802,"4,235"
771,13329,"4,227"
772,12992,"4,197"
773,14042,"4,181"
774,12122,"4,170"
775,11796,"4,160"
776,13476,"4,150"
777,10928,"4,145"
778,14433,"4,141"
779,12833,"4,134"
780,13838,"4,099"
781 TIE,14772 and 14541,"4,075"
782,14882,"4,066"
783,13634,"4,064"
784,12134,"4,059"
785,12790,"4,058"
786,13074,"4,050"
787,14485,"4,010"
788,13456,"4,005"
789,12929,"3,982"
790,13602,"3,968"
791,12083,"3,939"
792,13317,"3,926"
793,10925,"3,913"
794,12027,"3,887"
795,13748,"3,876"
796,13408,"3,845"
797,12758,"3,835"
798,14548,"3,826"
799,13354,"3,811"
800,10921,"3,809"
801,10548,"3,793"
802,13033,"3,774"
803,12944,"3,764"
804,11732,"3,751"
805,11955,"3,748"
806 TIE,14125 and 13833,"3,728"
807,11954,"3,685"
808,11697,"3,674"
809,13084,"3,659"
810,14733,"3,646"
811,14823,"3,624"
812 TIE,12827 and 12526,"3,622"
813,12809,"3,612"
814,13131,"3,611"
815,13491,"3,606"
816,10926,"3,592"
817 TIE,13743 and 12865,"3,551"
818,13308,"3,543"
819,13132,"3,541"
820 TIE,14416 and 12543,"3,535"
821,14812,"3,525"
822,12196,"3,522"
823 TIE,13439 and 13030,"3,518"
824,14025,"3,475"
825,14821,"3,471"
826,13116,"3,468"
827,14719,"3,459"
828,11719,"3,447"
829,13655,"3,444"
830,14710,"3,443"
831,12449,"3,436"
832,14111,"3,425"
833,10987,"3,408"
834,13438,"3,392"
835,14202,"3,385"
836,13480,"3,372"
837,12487,"3,370"
838,13417,"3,362"
839,13787,"3,342"
840,11749,"3,341"
841,10004,"3,335"
842,12404,"3,334"
843,14757,"3,323"
844,10958,"3,319"
845,12443,"3,317"
846,13471,"3,291"
847,10998,"3,281"
848,14738,"3,252"
849,12846,"3,249"
850,12068,"3,238"
851,12138,"3,218"
852,13080,"3,210"
853,14543,"3,203"
854,10974,"3,202"
855,11724,"3,175"
856,12531,"3,171"
857,11935,"3,160"
858,13411,"3,152"
859,13754,"3,147"
860 TIE,14807 and 13668,"3,138"
861 TIE,13656 and 12117,"3,133"
